type,active date,active time,acknowledged date, acknowledged time,inactive date,inactive time,ID,status,integer status,description,value,priority,group
Alarm,2022/9/11,16:59:2.157,,,,,zidwjksc,Active,0,Hydraulic Motor Over Temperature ,true,0,0,
Alarm,2022/10/25,4:21:57.924,,,2022/10/25,4:21:59.304,vqyfythw,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,4:32:13.925,,,2022/10/25,4:32:15.484,pszutvxr,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,4:32:53.384,,,2022/10/25,4:32:54.664,apavpclk,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,5:36:47.724,,,2022/10/25,5:36:50.944,ljjackoa,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,6:7:18.684,,,2022/10/25,6:7:20.323,ljuucgjt,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,7:2:38.785,,,2022/10/25,7:2:40.665,ehlddgyl,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,7:6:6.845,,,2022/10/25,7:6:8.504,eqkqtkib,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,7:8:53.324,,,2022/10/25,7:8:55.284,qngbzzzu,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,7:11:22.284,,,2022/10/25,7:11:24.365,muocpwbz,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,7:34:53.904,,,2022/10/25,7:34:55.484,havwyupy,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,8:2:44.224,,,2022/10/25,8:2:45.603,pbenchwe,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,8:32:3.583,,,2022/10/25,8:32:4.925,gieomsjo,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,8:32:31.904,,,2022/10/25,8:32:31.924,vbapjiom,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,9:9:53.784,,,2022/10/25,9:9:54.564,khiazquw,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,10:5:31.144,,,2022/10/25,10:5:32.743,otsrddtz,Inactive,2,no pressure change confirming IBOP close,true,0,0,
Alarm,2022/10/25,10:51:47.384,,,2022/10/25,10:51:48.944,wpmyswgz,Inactive,2,no pressure change confirming IBOP close,true,0,0,
